id;descripcion;valor
1;Wisconsin Facilitator Incredible;reinvent
2;eco-centric Bedfordshire mesh;Configuration UIC-Franc
3;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire
4;portal calculating Metal;real-time discrete redundant
5;Synergistic Personal Loan Account Sleek;Borders
6;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate
7;interfaces;Garden Dale Wallis and Futuna
8;generating;Computers Small Fresh Gloves back-end
9;interface;compress lavender Investment Account
10;backing up;Iran
